,0,1,2,3
"(0, 0)",-0.004715170923409377,-0.007282912980201318,-0.0037832996192211903,-0.010598299425303732
"(0, 1)",-0.04464894170195661,-0.5217031000000001,-0.005595189060006046,-0.033529110201782016
"(0, 2)",-0.02222295271805458,-0.46855900000000006,-0.004665425825109887,-0.00500405855598191
"(0, 3)",-0.006380089149613099,-0.01814896645452959,-0.0071868769069705785,-0.008864685887137458
mine,0.0,0.0,0.0,0.0
"(1, 0)",-0.011454626964472206,-0.007428142669421049,-0.01608466179565798,-0.5217031000000001
"(2, 0)",-0.014038754964316688,-0.009942714226641385,-0.023212048465518324,-0.46855900000000006
"(3, 0)",-0.024291817327062787,-0.037147469316823896,-0.014980924222294786,-0.030164686034193318
"(4, 0)",-0.009514018086948378,-0.01270829220113839,-0.04283141589712389,-0.5217031000000001
"(3, 1)",-0.34390000000000004,-0.34390000000000004,-0.007569785622749917,0.06972080382369
"(3, 2)",0.0,0.27237880782,-5.904900000000003e-07,-0.271
"(2, 2)",-0.1,-0.0171,-0.19,-0.00029866090382504114
"(2, 3)",-0.006724404322449913,-0.271,-0.007296561000000001,-0.01940007643841587
"(1, 3)",-0.005265691170801886,-0.007076513904022288,-0.40951000000000004,-0.020069322715031573
"(4, 2)",0.0,0.0,-0.1,0.68618940391
treasure,0.0,0.0,0.0,0.0
